"id","item_name","short_description","item_tags","created_at"
"484","CHOAM Outpost 01","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"485","CHOAM Scout Boots","Light armor boots made from plastanium.","[""Items.Clothes.ScoutArmor.Feet"",""LootTier.6"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"486","CHOAM Scout Chestplate","Light armor top made from plastanium.","[""Items.Clothes.ScoutArmor.Torso"",""LootTier.6"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"487","CHOAM Scout Gloves","Light armor gloves made from plastanium.","[""Items.Clothes.ScoutArmor.Hands"",""LootTier.6"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"488","CHOAM Scout Helmet","Light armor helmet made from plastanium.","[""Items.Clothes.ScoutArmor.Head"",""LootTier.6"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"489","CHOAM Scout Pants","Light armor leggings made from plastanium.","[""Items.Clothes.ScoutArmor.Legs"",""LootTier.6"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"490","CHOAM Scout Schematic","Learnable Schematic","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"491","CHOAM Shelter Set","CHOAM-style basic building set","[""Items.Consumables.BuildableSets"",""LootTier.0"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"492","CHOAM Stillsuit 03 Schematic","Schematic set for a CHOAM Stillsuit","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"493","CHOAM Stillsuit 04 Schematic","Schematic set for a CHOAM Stillsuit","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"494","CHOAM Stillsuit 05 Schematic","Schematic set for a CHOAM Stillsuit","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"495","CHOAM Stillsuit Body","A full-body stillsuit with plastanium fittings.","[""Items.Clothes.Stillsuit.Torso"",""LootTier.6"",""Loot.Fremen"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"496","CHOAM Stillsuit Boots","Stillsuit boots with plastanium actuator pumps.","[""Items.Clothes.Stillsuit.Feet"",""LootTier.6"",""Loot.Fremen"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"497","CHOAM Stillsuit Gloves","Stillsuit gloves with plastanium fittings.","[""Items.Clothes.Stillsuit.Hands"",""LootTier.6"",""Loot.Fremen"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"498","CHOAM Stillsuit Mask","A stillsuit mask with plastanium fittings.","[""Items.Clothes.Stillsuit.Head"",""LootTier.6"",""Loot.Fremen"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"499","CHOAM Style Lighting Schematic","Learnable Schematic","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"500","CHOAM Sword Mark I Schematic","Long bladed melee weapon","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"501","CHOAMSword Schematic","Long bladed melee weapon","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"502","Chosen Boots","Boots worn by the Chosen.","[""Items.Clothes.ScoutArmor.Feet"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"503","Chosen Boots Schematic","Schematic for boots worn by the Chosen.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"504","Chosen Chestplate","A chestplate worn by the Chosen.","[""Items.Clothes.ScoutArmor.Torso"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"505","Chosen Chestplate Schematic","Schematic for a chestplate worn by the Chosen.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"506","Chosen Gauntlets","Gauntlets worn by the Chosen.","[""Items.Clothes.ScoutArmor.Hands"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"507","Chosen Gauntlets Schematic","Schematic for pants worn by the Chosen.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"508","Chosen Helmet","A helmet worn by the Chosen.","[""Items.Clothes.ScoutArmor.Head"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"509","Chosen Helmet Schematic","Schematic for a helmet worn by the Chosen.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"510","Chosen Pants","Pants worn by the Chosen.","[""Items.Clothes.ScoutArmor.Legs"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"511","Chosen Pants Schematic","Schematic for pants worn by the Chosen.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"512","Circuit Gauntlets","A heavy armor gauntlet with optimized power usage.","[""Items.Clothes.HeavyArmor.Hands"",""LootTier.6"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"513","Circuit Gauntlets Schematic","A heavy armor gauntlet with optimized power usage.","[""Items.Schematics.Clothes.HeavyArmor"",""LootTier.6"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"514","Clapper Mk4","Attracts sandworms extremely fast.","[""Items.Holsters.UtilityTools.Thumper"",""LootTier.4"",""Rarity.Rare"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"515","Clapper Mk4 Schematic","Schematic for a modified thumper that quickly generates worm threat.","[""Items.Schematics.UtilityTools.Thumper"",""LootTier.4"",""Rarity.Rare"",""LootPool.1""]","2026-02-25 21:38:24.494667+00"
"516","Cobalt Paste","Cobalt paste refined from Erythrite Crystal.","[""Items.RefinedResources.Support"",""LootTier.3""]","2026-02-25 21:38:24.494667+00"
"517","Coded Manifest","A slaver servo-stim shipping manifest, written in code.","[""Items.ExcludeFromExchange"",""Items.Contract"",""Items.ActorBoundItem""]","2026-02-25 21:38:24.494667+00"
"518","Coded Message","A folded piece of spice paper","[""Contract.Target.Item"",""Items.ExcludeFromExchange"",""Items.Contract""]","2026-02-25 21:38:24.494667+00"
"519","Collapsible Dew Reaper Mk4","Dew Reaper that takes minimal space.","[""Items.Holsters.HydrationTools"",""LootTier.4"",""Rarity.Rare"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"520","Collapsible Dew Reaper Mk4 Schematic","Dew Reaper that takes minimal space.","[""Items.Schematics.HydrationTools"",""LootTier.4"",""Rarity.Rare"",""LootPool.1""]","2026-02-25 21:38:24.494667+00"
"521","Collapsible Dew Reaper Mk5","Dew Reaper that takes minimal space.","[""Items.Holsters.HydrationTools"",""LootTier.5"",""Rarity.Rare"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"522","Collapsible Dew Reaper Mk5 Schematic","Dew Reaper that takes minimal space.","[""Items.Schematics.HydrationTools"",""LootTier.5"",""Rarity.Rare"",""LootPool.1""]","2026-02-25 21:38:24.494667+00"
"523","Collapsible Dew Reaper Mk6","Dew Reaper that takes minimal space.","[""Items.Holsters.HydrationTools"",""LootTier.6"",""Rarity.Rare"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"524","Collapsible Dew Reaper Mk6 Schematic","Dew Reaper that takes minimal space.","[""Items.Schematics.HydrationTools"",""LootTier.6"",""Rarity.Rare"",""LootPool.1""]","2026-02-25 21:38:24.494667+00"
"525","Compact Compactor Mk3","Static compactor that draws less power and reduces worm attention.","[""Items.Holsters.GatheringTools.Compactor"",""LootTier.3"",""Rarity.Rare"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"526","Compact Compactor Mk3 Schematic","Schematic for a Static compactor that draws less power and reduces worm attention.","[""Items.Schematics.GatheringTools.Compactor"",""LootTier.3"",""Rarity.Rare"",""LootPool.4""]","2026-02-25 21:38:24.494667+00"
"527","Compact Compactor Mk4","Static compactor that draws less power and reduces worm attention.","[""Items.Holsters.GatheringTools.Compactor"",""LootTier.4"",""Rarity.Rare"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"528","Compact Compactor Mk4 Schematic","Static compactor that draws less power and reduces worm attention.","[""Items.Schematics.GatheringTools.Compactor"",""LootTier.4"",""Rarity.Rare"",""LootPool.4""]","2026-02-25 21:38:24.494667+00"
"529","Compact Compactor Mk5","Static compactor that draws less power and reduces worm attention.","[""Items.Holsters.GatheringTools.Compactor"",""LootTier.5"",""Rarity.Rare"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"530","Compact Compactor Mk5 Schematic","Static compactor that draws less power and reduces worm attention.","[""Items.Schematics.GatheringTools.Compactor"",""LootTier.5"",""Rarity.Rare"",""LootPool.4""]","2026-02-25 21:38:24.494667+00"
"531","Compact Compactor Mk6","Static compactor that draws less power and reduces worm attention.","[""Items.Holsters.GatheringTools.Compactor"",""LootTier.6"",""Rarity.Rare"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"532","Compact Compactor Mk6 Schematic","Static compactor that draws less power and reduces worm attention.","[""Items.Schematics.GatheringTools.Compactor"",""LootTier.6"",""Rarity.Rare"",""LootPool.4""]","2026-02-25 21:38:24.494667+00"
"533","Compact Seismic Probe","Device for detecting sandworms","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"534","Compact Seismic Probe Schematic","Device for detecting sandworms","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"535","Complex Machinery","A fabrication component found in loot.","[""Items.CraftedResources"",""LootTier.2"",""Loot.Component"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"536","Compression-Stim Leggings","Light leggings with reduced stamina drain while sprinting.","[""Items.Clothes.ScoutArmor.Legs"",""LootTier.4"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"537","Compression-Stim Leggings Schematic","Light leggings with reduced stamina drain while sprinting.","[""Items.Schematics.Clothes.ScoutArmor"",""LootTier.4"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"538","Construction Tool","Tool used to build structures for a base.","[""Items.Holsters.BuildingTools.SCPTool"",""LootTier.0"",""Items.NotCustomizable"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"539","ContractRewardItem","","[""Items.ExcludeFromExchange"",""Items.Contract""]","2026-02-25 21:38:24.494667+00"
"540","ContractSeronVarlinGinazWrit","","[""Items.ExcludeFromExchange"",""Items.Contract""]","2026-02-25 21:38:24.494667+00"
"541","Cope","A precision pistol for those who prioritize aim.","[""Items.Holsters.RangedWeapons.Heavy.Pistol"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"542","Cope Schematic","Schematic for a precision pistol for those who prioritize aim.","[""Items.Schematics.RangedWeapons.Heavy.Pistol"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"543","Copper Ingot","Refined Copper used in fabrication.","[""Items.RefinedResources.Metal"",""LootTier.1""]","2026-02-25 21:38:24.494667+00"
"544","Copper Ore","Ore from Copper deposits.","[""Items.RawResources.Metal"",""LootTier.1""]","2026-02-25 21:38:24.494667+00"
"545","Corpse","Dead body that can be used in a Deathstill.","[""Items.RawResources.Misc""]","2026-02-25 21:38:24.494667+00"
"546","CorrinthGalaDress Schematic","Learnable Schematic","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"547","Counterfeit Document","An incriminating forgery","[""Contract.Target.Item"",""Items.ExcludeFromExchange"",""Items.Contract""]","2026-02-25 21:38:24.494667+00"
"548","Courier Package","A very well-wrapped package of unknown contents.","[""Contract.Target.Item"",""Items.ExcludeFromExchange"",""Items.Contract""]","2026-02-25 21:38:24.494667+00"
"549","Crude Stillsuit Body","Functional stillsuit. Better water retention.","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"550","Crude Stillsuit Boots","Functional stillsuit boots. Better water retention","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"551","Crude Stillsuit Gloves","Functional stillsuit gloves. Better water retention","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"552","Crude Stillsuit Hood","Functional stillsuit mask. Better water retention","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"553","Crude Stillsuit Schematic","Schematic set for a Crude Stillsuit","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"554","Crysknife","Crysknife temp shortdesc","[""Items.Holsters.MeleeWeapons.Knife.Kindjal"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerBuyingFromVendor""]","2026-02-25 21:38:24.494667+00"
"555","Cultivating Hufuf Vines in Artificial Environments â€” E. Goetha","A treatise on plant care.","[""Contract.Target.Item"",""Items.ExcludeFromExchange"",""Items.Contract""]","2026-02-25 21:38:24.494667+00"
"556","Cup of Water","A quick drink of water.","[""Items.Holsters.HydrationTools"",""LootTier.0"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"557","Cutteray Mk1","Cutteray capable of mining iron.","[""Items.Holsters.GatheringTools.Cutteray"",""LootTier.1"",""Loot.Fremen"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"558","Cutteray Mk2","Cutteray capable of mining carbon.","[""Items.Holsters.GatheringTools.Cutteray"",""LootTier.2"",""Loot.Fremen"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"559","Cutteray Mk3","Heavy cutteray capable of mining aluminum.","[""Items.Holsters.GatheringTools.Cutteray"",""LootTier.3"",""Loot.Fremen"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"560","Cutteray Mk5","Top of the line cutteray.","[""Items.Holsters.GatheringTools.Cutteray"",""LootTier.5"",""Loot.Fremen"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"561","Cutteray Mk6","Used to mine ore.","[""Items.Holsters.GatheringTools.Cutteray"",""LootTier.6"",""Loot.Fremen"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"562","D_Atreides_Movie_Patent","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"563","D_ChoamSet","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"564","D_LandingPadSet_Patent","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"565","D_Neut_Gunner_Patent","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"566","D_Neut_JailSet_Patent","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"567","D_Neut_KaitainHolographicGarden_Patent","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"568","D_Neut_Statues_Patent","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"569","D_T4_Structure_StakingunitVertical_Schematic/Schematic","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"570","D_VehicleShieldAbility","A high-speed engine manufactured by House Dyvetz","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"571","Dampened Sandcrawler Treads","Treads designed to dampen vibration on the sands","[""Items.Holsters.Deployables.VehicleBase.SandcrawlerCHOAM"",""LootTier.6"",""Rarity.Rare"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable"",""Items.ExcludeFromPlayerBuyingFromVendor""]","2026-02-25 21:38:24.494667+00"
"572","Dampened Sandcrawler Treads Schematic","Schematic for treads designed to dampen vibration on the sands.","[""Items.Schematics.Deployables.VehicleBase.SandcrawlerCHOAM"",""LootTier.6"",""Rarity.Rare"",""LootPool.3""]","2026-02-25 21:38:24.494667+00"
"573","Dart-grooved Barrel","A fabrication component found in loot.","[""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"574","Decaliterjon","Portable container used for carrying water.","[""Items.Holsters.HydrationTools"",""LootTier.4"",""Loot.Fremen"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"575","Decorative Banner Patent","A set of banners","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"576","Decorative Box","","[""Items.Consumables.BuildableSets"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"577","Decorative Carpets","Decorative carpets to place in a base","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"578","Decorative Items Patent","A set of decorative objects","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"579","Delivery Report","","[""Contract.Target.Item"",""Items.ExcludeFromExchange"",""Items.Contract""]","2026-02-25 21:38:24.494667+00"
"580","Denira's Gift","A modified dirk that burns as it cuts.","[""Items.Holsters.MeleeWeapons.Knife.Dirk"",""LootTier.4"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"581","Denira's Gift Schematic","Schematic for a modified dirk that burns as it cuts.","[""Items.Schematics.MeleeWeapons.Knife"",""LootTier.4"",""Rarity.Rare"",""LootPool.4""]","2026-02-25 21:38:24.494667+00"
"582","Desert Garb","Light armor chest that is more breathable.","[""Items.Clothes.ScoutArmor.Torso"",""LootTier.6"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"583","Desert Garb Schematic","Light armor chest that is more breathable.","[""Items.Schematics.Clothes.ScoutArmor"",""LootTier.6"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"584","Desert Mechanic Building Set","","[""Items.Consumables.BuildableSets"",""LootTier.1"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"585","Desert Mechanic Dismantled Sandbike","TBD","[""Items.Consumables.BuildableSets"",""LootTier.1"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"586","Desert Mechanic Glowglobe","TBD","[""Items.Consumables.BuildableSets"",""LootTier.1"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"587","Desert Mechanic Hologram Projector","TBD","[""Items.Consumables.BuildableSets"",""LootTier.1"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"588","Desert Mechanic Spare Wheel","TBD","[""Items.Consumables.BuildableSets"",""LootTier.1"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"589","Desert Mechanic Storage Container","TBD","[""Items.Consumables.BuildableSets"",""LootTier.1"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"590","Desert Vagabond Breeches","A drifter's breeches","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"591","Desert Vagabond Gloves","A drifter's gloves","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"592","Desert Vagabond Hood","A drifter's hood","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"593","Desert Vagabond Robe","A drifter's robe","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"594","Desert Vagabond Shoes","A drifter's shoes","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"595","Deserter Tissue Sample","Tissue sample from an Atreides Deserter.","[""Items.ExcludeFromExchange"",""Items.Contract"",""Items.ActorBoundItem""]","2026-02-25 21:38:24.494667+00"
"596","Desk","","[""Items.Consumables.BuildableSets"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"597","Dew Reaper II","Device to collect dew from the environment","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"598","Dew Reaper Mk2","Device to collect water from the environment.","[""Items.Holsters.HydrationTools"",""LootTier.2"",""Loot.Fremen"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"599","Dew Reaper Mk4","Device to collect water from the environment.","[""Items.Holsters.HydrationTools"",""LootTier.4"",""Loot.Fremen"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"600","Dew Reaper Mk6","Device to collect water from the environment.","[""Items.Holsters.HydrationTools"",""LootTier.6"",""Loot.Fremen"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"601","Dew Reaper Schematic","Schematic for a Dew Reaper","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"602","Dew Scythe Mk6","Device to collect water from the environment.","[""Items.Holsters.HydrationTools"",""LootTier.6"",""Loot.Fremen"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"603","Dewpack","Small container for carrying water","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"604","Diamodine blade parts","A crafting component found in the Deep Desert.","[""Items.CraftedResources"",""LootTier.6"",""Loot.Component"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
